Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Bob Casey,D,TX-22,94th,1976-01-22,Appointed to Ford administration,U.S. Congress,Other office,TX,1976
James Hastings,R,NY-39,94th,1976-01-20,Took a job with Associated Industries of New York,Milwaukee Journal,Private sector,NY,1976
Norris Cotton,R,NH-SEN,94th,1975-09-18,To yield to the winner of the controversial NH-SEN re-vote,U.S. Congress,Other,NH,1975
Richard Fulton,D,TN-05,94th,1975-08-14,Elected Nashville mayor,U.S. Congress,Other office,TN,1975
J. William Fulbright,D,AR-SEN,93rd,1974-12-31,Lost reelection bid; quit to go on vacation & receive higher pension,New York Times,Left early,AR,1974
Charles Gubser,R,CA-10,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,CA,1974
Chet Holifield,D,CA-19,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,CA,1974
Craig Hosmer,R,CA-32,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,CA,1974
Richard Hanna,D,CA-34,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,Los Angeles Times,Left early,CA,1974
Ed Gurney,R,FL-SEN,93rd,1974-12-31,"Retired; might've left early for pension, seniority, or indictment",Orlando Sentinel,,FL,1974
Leslie Arends,R,IL-15,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,IL,1974
Ken Gray,D,IL-24,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,IL,1974
Frank Stubblefield,D,KY-01,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,KY,1974
Harold Donohue,D,MA-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MA,1974
Charles Chamberlain,R,MI-06,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MI,1974
Martha Griffiths,D,MI-17,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MI,1974
Ancher Nelsen,R,MN-02,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MN,1974
John Blatnik,D,MN-08,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MN,1974
David Martin,R,NE-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,NE,1974
Norris Cotton,R,NH-SEN,93rd,1974-12-31,Retired; might've left early for pension or to force R appointment in controversial NH-SEN,U.S. Senate,,NH,1974
Louis Wyman,R,NH-01,93rd,1974-12-31,Appointed U.S. senator,U.S. Congress,Other office,NH,1974
William Widnall,R,NJ-07,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,NJ,1974
John Rooney,D,NY-14,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,NY,1974
Hugh Carey,D,NY-15,93rd,1974-12-31,Elected New York governor,U.S. Congress,Other office,NY,1974
Carleton King,R,NY-29,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,NY,1974
Thaddeus Dulski,D,NY-37,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,NY,1974
Sam Ervin,D,NC-SEN,93rd,1974-12-31,Retired; resigned early to receive higher pension,Burlington Daily Times-News,Left early,NC,1974
William Minshall,R,OH-23,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,OH,1974
Edith Green,D,OR-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,OR,1974
Frank Clark,D,PA-25,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,PA,1974
W.J. Bryan Dorn,D,SC-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,SC,1974
Tom Gettys,D,SC-05,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,SC,1974
O.C. Fisher,D,TX-21,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,TX,1974
Joel Broyhill,R,VA-10,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,VA,1974
Julia Butler Hansen,D,WA-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,WA,1974
Vernon Thomson,R,WI-03,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,WI,1974
Glenn Davis,R,WI-09,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,WI,1974
Marlow Cook,R,KY-SEN,93rd,1974-12-27,Lost reelection bid; resigned to let successor start early,"""Kentucky's Governors""",Left early,KY,1974
Howard Metzenbaum,D,OH-SEN,93rd,1974-12-23,Appointment was expiring; resigned to let successor start early,Logan Daily News,Left early,OH,1974
Wallace Bennett,R,UT-SEN,93rd,1974-12-20,Retired; resigned early to give successor seniority,New York Times,Left early,UT,1974
Alan Bible,D,NV-SEN,93rd,1974-12-17,Retired; resigned early to give successor seniority,Las Vegas Review-Journal,Left early,NV,1974
Bill Mailliard,R,CA-06,93rd,1974-03-05,Appointed to Nixon administration,New York Times,Other office,CA,1974
James Harvey,R,MI-08,93rd,1974-01-31,Appointed federal judge,Ballotpedia,Other office,MI,1974
Bill Saxbe,R,OH-SEN,93rd,1974-01-03,Appointed to Nixon administration,American Presidency Project,Other office,OH,1974
William Keating,R,OH-01,93rd,1974-01-03,Took a job with Cincinnati Enquirer,Toledo Blade,Private sector,OH,1974
Gerald Ford,R,MI-05,93rd,1973-12-06,Appointed vice president,U.S. Congress,Other office,MI,1973
Elaine Edwards,D,LA-SEN,92nd,1972-11-13,Appointment was expiring; resigned to let successor start early,Milwaukee Journal,Left early,LA,1972
Dick Poff,R,VA-06,92nd,1972-08-29,Appointed to Virginia Supreme Court,Washington Post,Other office,VA,1972
Edwin Edwards,D,LA-07,92nd,1972-05-09,Elected Louisiana governor,U.S. Congress,Other office,LA,1972
Bradford Morse,R,MA-05,92nd,1972-05-01,Took a job with United Nations,Los Angeles Times,Private sector,MA,1972
Charlotte Reid,R,IL-15,92nd,1971-10-07,Appointed to Nixon administration,U.S. House of Representatives,Other office,IL,1971
Robert Stafford,R,VT-AL,92nd,1971-09-16,Appointed U.S. senator,U.S. Congress,Other office,VT,1971
Rogers Morton,R,MD-01,92nd,1971-01-29,Appointed to Nixon administration,Washington Post,Other office,MD,1971
George Murphy,R,CA-SEN,91st,1971-01-02,Lost reelection bid & left early; unclear why,New York Times,Left early,CA,1971
John Tunney,D,CA-38,91st,1971-01-02,Appointed U.S. senator,U.S. Congress,Other office,CA,1971
John Williams,R,DE-SEN,91st,1970-12-31,Retired; resigned early to give successor seniority,Delaware Historical Society,Left early,DE,1970
William Roth,R,DE-AL,91st,1970-12-31,Appointed U.S. senator,Delaware Historical Society,Other office,DE,1970
Bill Cahill,R,NJ-06,91st,1970-01-19,Elected New Jersey governor,U.S. Congress,Other office,NJ,1970
Charles Joelson,D,NJ-08,91st,1969-09-04,Appointed New Jersey superior court judge,U.S. Congress,Other office,NJ,1969
Donald Rumsfeld,R,IL-13,91st,1969-05-25,Appointed to Nixon administration,White House,Other office,IL,1969
James Battin,R,MT-02,91st,1969-02-27,Appointed federal judge,U.S. Congress,Other office,MT,1969
Ed Reinecke,R,CA-27,91st,1969-01-21,Appointed California lieutenant governor,Lieutenant Governor Blog,Other office,CA,1969
Melvin Laird,R,WI-07,91st,1969-01-21,Appointed to Nixon administration,U.S. Congress,Other office,WI,1969
Paul Fino,R,NY-24,90th,1968-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1968
Edward Long,D,MO-SEN,90th,1968-12-27,Lost reelection bid; resigned to let successor start early,Missourinet,Left early,MO,1968
Thruston Morton,R,KY-SEN,90th,1968-12-16,Retired; resigned early to give successor seniority,Orlando Sentinel,Left early,KY,1968
John Bell Williams,D,MS-03,90th,1968-01-16,Elected Mississippi governor,U.S. Congress,Other office,MS,1968
Abraham Multer,D,NY-13,90th,1967-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1967
Ralph Rivers,D,AK-AL,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,AK,1966
Winfield Denton,D,IN-08,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Rushville Republican,Left early,IN,1966
Ralph Harvey,R,IN-10,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,IN,1966
Leo O'Brien,D,NY-29,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,NY,1966
Harold Cooley,D,NC-04,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,NC,1966
Robert Secrest,D,OH-15,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,OH,1966
Paul Dague,R,PA-09,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,PA,1966
John Kunkel,R,PA-16,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,PA,1966
Tom Murray,D,TN-07,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,TN,1966
Clark Thompson,D,TX-09,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,TX,1966
A. Willis Robertson,D,VA-SEN,89th,1966-12-30,Lost reelection bid; resigned to let successor start early,Indianapolis Star,Left early,VA,1966
Robert Griffin,R,MI-09,89th,1966-05-10,Appointed U.S. senator,U.S. Congress,Other office,MI,1966
Oren Harris,D,AR-04,89th,1966-02-02,Appointed federal judge,U.S. Congress,Other office,AR,1966
John Lindsay,R,NY-17,89th,1965-12-31,Elected New York City mayor,U.S. Congress,Other office,NY,1965
Harry Byrd Sr.,D,VA-SEN,89th,1965-11-10,Health reasons,Washington Post,Health/family,VA,1965
James Roosevelt,D,CA-26,89th,1965-09-30,Appointed to Johnson administration,U.S. Congress,Other office,CA,1965
Albert Watson,D,SC-02,89th,1965-02-01,Dem Party ostracized him; resigned to seek seat as Republican,U.S. Congress,Other,SC,1965
Pierre Salinger,D,CA-SEN,88th,1964-12-31,Lost reelection; resigned early to take film job & give successor seniority,Palm Springs Desert Sun,,CA,1964
Hubert Humphrey,D,MN-SEN,88th,1964-12-29,Elected vice president,UPI,Other office,MN,1964
Edward Finnegan,D,IL-09,88th,1964-12-06,Appointed Cook County judge,U.S. Congress,Other office,IL,1964
Joseph Montoya,D,NM-AL,88th,1964-11-03,Elected U.S. senator,U.S. Congress,Other office,NM,1964
Ross Bass,D,TN-06,88th,1964-11-03,Elected U.S. senator,U.S. Congress,Other office,TN,1964
Robert Hemphill,D,SC-05,88th,1964-05-01,Appointed federal judge,U.S. Congress,Other office,SC,1964
John Shelley,D,CA-05,88th,1964-01-07,Elected San Francisco mayor,U.S. Congress,Other office,CA,1964
Homer Thornberry,D,TX-10,88th,1963-12-20,Appointed federal judge,U.S. Congress,Other office,TX,1963
Robert Cook,D,OH-11,87th,1962-12-13,Lost reelection bid & left early; unclear why,U.S. Congress,Left early,OH,1962
Frank Smith,D,MS-03,87th,1962-11-14,Appointed to Tennessee Valley Authority,U.S. House of Representatives,Private sector,MS,1962
Hugh Addonizio,D,NJ-11,87th,1962-06-30,Elected Newark mayor,U.S. House of Representatives,Other office,NJ,1962
Lester Holtzman,D,NY-06,87th,1961-12-31,Elected New York Supreme Court justice,Jewish Virtual Library,Other office,NY,1961
Frank Ikard,D,TX-13,87th,1961-12-15,Took a job with American Petroleum Institute,Corsicana Daily Sun,Private sector,TX,1961
Paul Kilday,D,TX-20,87th,1961-09-24,Appointed federal judge,Arlington National Cemetery,Other office,TX,1961
Thaddeus Machrowicz,D,MI-01,87th,1961-09-18,Appointed federal judge,U.S. Congress,Other office,MI,1961
Stewart Udall,D,AZ-02,87th,1961-01-18,Appointed to Kennedy administration,U.S. Congress,Other office,AZ,1961
Lyndon Johnson,D,TX-SEN,87th,1961-01-03,Elected vice president,U.S. Congress,Other office,TX,1961
Albert Bosch,R,NY-05,86th,1960-12-31,Elected Queens County judge,U.S. Congress,Other office,NY,1960
John F. Kennedy,D,MA-SEN,86th,1960-12-22,Elected president,U.S. Congress,Other office,MA,1960
Quentin Burdick,D,ND-AL,86th,1960-08-08,Elected U.S. senator,U.S. Congress,Other office,ND,1960
Isidore Dollinger,D,NY-23,86th,1959-12-31,Elected Bronx district attorney,New York Times,Other office,NY,1959
Henry Latham,R,NY-04,85th,1958-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1958
Richard Wigglesworth,R,MA-13,85th,1958-11-13,Appointed to Eisenhower administration,U.S. Congress,Other office,MA,1958
Earl Chudoff,D,PA-04,85th,1958-01-05,Elected Pennsylvania judge,U.S. Congress,Other office,PA,1958
Sterling Cole,R,NY-37,85th,1957-12-01,Took a job with International Atomic Energy Agency,U.S. Congress,Private sector,NY,1957
Samuel K. McConnell,R,PA-13,85th,1957-09-01,Took a job with United Cerebral Palsy Associations,U.S. Congress,Private sector,PA,1957
Price Daniel,D,TX-SEN,85th,1957-01-14,Elected Texas governor,U.S. Congress,Other office,TX,1957
Arthur Klein,D,NY-19,84th,1956-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1956
Irwin Davidson,D,NY-20,84th,1956-12-31,Elected New York judge,U.S. Congress,Other office,NY,1956
Strom Thurmond,D,SC-SEN,84th,1956-04-04,Fulfilled a campaign pledge to resign & have a competitive primary,New York Times,Other,SC,1956
Sidney Fine,D,NY-22,84th,1956-01-02,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1956
Hazel Abel,R,NE-SEN,83rd,1954-12-31,Elected as caretaker; resigned to let successor start early,"""Oxford Handbook of Southern Politics""",Left early,NE,1954
Carl Curtis,R,NE-01,83rd,1954-12-31,Appointed U.S. senator,U.S. Congress,Other office,NE,1954
Jacob Javits,R,NY-21,83rd,1954-12-31,Elected New York attorney general,U.S. Congress,Other office,NY,1954
Charles Daniel,D,SC-SEN,83rd,1954-12-23,Appointment was expiring; resigned to let successor start early,Smart Politics,Left early,SC,1954
George Bender,R,OH-23,83rd,1954-12-15,Elected U.S. senator,U.S. Congress,Other office,OH,1954
Roman Hruska,R,NE-02,83rd,1954-11-08,Elected U.S. senator,U.S. Congress,Other office,NE,1954
Norris Cotton,R,NH-02,83rd,1954-11-07,Elected U.S. senator,U.S. Congress,Other office,NH,1954
Robert Secrest,D,OH-15,83rd,1954-09-26,Appointed to Eisenhower administration,Washington Post,Other office,OH,1954
Louis Heller,D,NY-08,83rd,1954-07-21,Appointed New York judge,U.S. Congress,Other office,NY,1954
Clifford Case,R,NJ-06,83rd,1953-08-16,Took a job with Ford Foundation's Fund for the Republic,New York Times,Private sector,NJ,1953
Norris Poulson,R,CA-24,83rd,1953-07-11,Elected Los Angeles mayor,New York Times,Other office,CA,1953
Thomas Stanley,D,VA-05,83rd,1953-02-03,To focus on his run for governor,U.S. Congress,Other office,VA,1953
Richard Nixon,R,CA-SEN,82nd,1953-01-01,Elected vice president,U.S. Congress,Other office,CA,1953
Owen Brewster,R,ME-SEN,82nd,1952-12-31,Lost reelection bid & left early; unclear why,U.S. Congress,Left early,ME,1952
Leonard Hall,R,NY-02,82nd,1952-12-31,Elected Nassau County surrogate,U.S. Congress,Other office,NY,1952
Charles Potter,R,MI-11,82nd,1952-11-04,Elected U.S. senator,U.S. Congress,Other office,MI,1952
Foster Furcolo,D,MA-02,82nd,1952-09-30,Appointed Massachusetts treasurer,New York Times,Other office,MA,1952
Tom Pickett,D,TX-07,82nd,1952-06-30,Took a job with National Coal Association,U.S. Congress,Private sector,TX,1952
T. Vincent Quinn,D,NY-05,82nd,1951-12-30,Elected Queens district attorney,U.S. Congress,Other office,NY,1951
Edward Breen,D,OH-03,82nd,1951-10-01,Ill health,U.S. Congress,Health/family,OH,1951
Harry Towe,R,NJ-09,82nd,1951-09-07,Appointed New Jersey deputy attorney general,New York Times,Other office,NJ,1951
Ed Gossett,D,TX-13,82nd,1951-07-31,Took a job with Southwestern Bell Telephone Company,Denton Record-Chronicle,Private sector,TX,1951
Thomas Underwood,D,KY-06,82nd,1951-03-17,Appointed U.S. senator,U.S. Congress,Other office,KY,1951
Frank Barrett,R,WY-AL,81st,1950-12-31,Elected Wyoming governor,U.S. Congress,Other office,WY,1950
Sheridan Downey,D,CA-SEN,81st,1950-11-30,Ill health,U.S. Congress,Health/family,CA,1950
Richard Nixon,R,CA-12,81st,1950-11-30,Appointed U.S. senator,U.S. Congress,Other office,CA,1950
Eugene Worley,D,TX-18,81st,1950-04-03,Appointed federal judge,U.S. Congress,Other office,TX,1950
J. Parnell Thomas,R,NJ-07,81st,1950-01-02,Convicted of fraud,New York Observer,Other scandals,NJ,1950
Raymond Baldwin,R,CT-SEN,81st,1949-12-16,Appointed Connecticut Supreme Court justice,New York Times,Other office,CT,1949
J. Howard McGrath,D,RI-SEN,81st,1949-08-23,Appointed to Truman administration,U.S. Congress,Other office,RI,1949
Robert Wagner,D,NY-SEN,81st,1949-06-28,Health reasons,Encyclopedia Britannica,Health/family,NY,1949
Alben Barkley,D,KY-SEN,81st,1949-01-19,Elected vice president,U.S. Congress,Other office,KY,1949
Karl Mundt,R,SD-01,80th,1948-12-30,Appointed U.S. senator,U.S. Congress,Other office,SD,1948
Vera Bushfield,R,SD-SEN,80th,1948-12-26,Appointment was expiring; resigned to let successor start early,U.S. House of Representatives,Left early,SD,1948
Noble Johnson,R,IN-06,80th,1948-07-01,Appointed federal judge,U.S. Congress,Other office,IN,1948
J. Lindsay Almond,D,VA-06,80th,1948-04-17,Elected Virginia attorney general,U.S. Congress,Other office,VA,1948
Earle Clements,D,KY-02,80th,1948-01-06,Elected Kentucky governor,U.S. Congress,Other office,KY,1948
Benjamin Rabin,D,NY-24,80th,1947-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1947
Evan Howell,R,IL-21,80th,1947-10-05,Appointed federal judge,U.S. Congress,Other office,IL,1947
Leo Rayfiel,D,NY-14,80th,1947-09-13,Appointed federal judge,U.S. Congress,Other office,NY,1947
Robert Jones,R,OH-04,80th,1947-09-02,Appointed to Truman administration,U.S. Congress,Other office,OH,1947
Ewing Thomason,D,TX-16,80th,1947-07-31,Appointed federal judge,U.S. Congress,Other office,TX,1947
Thomas D'Alesandro,D,MD-03,80th,1947-05-16,Elected Baltimore mayor,U.S. Congress,Other office,MD,1947
Hugh Mitchell,D,WA-SEN,79th,1946-12-25,Lost reelection bid; resigned to let successor start early,History Link,Left early,WA,1946
John Sparkman,D,AL-08,79th,1946-11-05,Elected U.S. senator,U.S. Congress,Other office,AL,1946
Henry Dworshak,R,ID-02,79th,1946-11-05,Elected U.S. senator,U.S. Congress,Other office,ID,1946
A. Willis Robertson,D,VA-07,79th,1946-11-05,Elected U.S. senator,U.S. Congress,Other office,VA,1946
Warren Austin,R,VT-SEN,79th,1946-08-02,Appointed to Truman administration,U.S. Congress,Other office,VT,1946
John Murphy,D,PA-10,79th,1946-07-17,Appointed federal judge,U.S. Congress,Other office,PA,1946
Luther Johnson,D,TX-06,79th,1946-07-17,Appointed federal judge,U.S. Congress,Other office,TX,1946
Thomas Burch,D,VA-05,79th,1946-05-31,Appointed U.S. senator,U.S. Congress,Other office,VA,1946
Samuel Weiss,D,PA-33,79th,1946-01-07,Elected Pennsylvania judge,U.S. Congress,Other office,PA,1946
Robert Ramspeck,D,GA-05,79th,1945-12-31,Took a job with Air Transport Association,U.S. Congress,Private sector,GA,1945
Clifton Woodrum,D,VA-06,79th,1945-12-31,Took a job with American Plant Food Council,U.S. Congress,Private sector,VA,1945
Samuel Dickstein,D,NY-19,79th,1945-12-30,Elected New York Supreme Court justice,American Jewish Archives,Other office,NY,1945
Happy Chandler,D,KY-SEN,79th,1945-11-01,Took a job with Major League Baseball,U.S. Congress,Private sector,KY,1945
Harold Burton,R,OH-SEN,79th,1945-09-30,Appointed to U.S. Supreme Court,U.S. Congress,Other office,OH,1945
Lane Powers,R,NJ-04,79th,1945-08-30,Appointed to New Jersey Public Utilities Commission,U.S. Congress,Other office,NJ,1945
Clinton Anderson,D,NM-AL,79th,1945-06-30,Appointed to Truman administration,U.S. Congress,Other office,NM,1945
Dave Satterfield Jr.,D,VA-03,79th,1945-02-15,Took a job with Life Insurance Association of America,U.S. Congress,Private sector,VA,1945
Harry Truman,D,MO-SEN,79th,1945-01-17,Elected vice president,U.S. Congress,Other office,MO,1945
Mon Wallgren,D,WA-SEN,79th,1945-01-09,Elected Washington governor,U.S. Congress,Other office,WA,1945
William Troutman,R,PA-AL,78th,1945-01-02,"Unclear, but sounds like he was elected to PA State Senate",U.S. Congress,Other office,PA,1945
Warren Magnuson,D,WA-01,78th,1944-12-13,Appointed U.S. senator,U.S. Congress,Other office,WA,1944
John Fogarty,D,RI-02,78th,1944-12-07,Joined the Navy,U.S. Congress,Military service,RI,1944
Al Gore Sr.,D,TN-04,78th,1944-12-04,Joined the Army,U.S. Congress,Military service,TN,1944
Lex Green,D,FL-AL,78th,1944-11-25,Joined the Navy,U.S. Congress,Military service,FL,1944
Homer Bone,D,WA-SEN,78th,1944-11-13,Appointed federal judge,U.S. Congress,Other office,WA,1944
Bob Sikes,D,FL-03,78th,1944-10-19,Joined the Army,National Military Fish & Wildlife Association,Military service,FL,1944
Winder Harris,D,VA-02,78th,1944-09-15,Took a job with Shipbuilders' Council of America,Smart Politics,Private sector,VA,1944
Will Rogers Jr.,D,CA-16,78th,1944-05-23,Joined the Army,U.S. Congress,Military service,CA,1944
Jimmy Domengeaux,D,LA-03,78th,1944-04-15,Joined the Army,New York Times,Military service,LA,1944
Henry Cabot Lodge Jr.,R,MA-SEN,78th,1944-02-03,Joined the Army,U.S. Congress,Military service,MA,1944
Joseph Gavagan,D,NY-21,78th,1943-12-30,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1943
James McGranery,D,PA-02,78th,1943-11-17,Appointed to Roosevelt administration,U.S. Congress,Other office,PA,1943
James Van Zandt,R,PA-23,78th,1943-09-24,Joined the Navy,U.S. Congress,Military service,PA,1943
Jack Nichols,D,OK-02,78th,1943-07-03,Took a job with Transcontinental & Western Air,U.S. Congress,Private sector,OK,1943
Anton Maciejewski,D,IL-06,77th,1942-12-08,Retired & left early; unclear why,U.S. Congress,Left early,IL,1942
James Scrugham,D,NV-AL,77th,1942-12-07,Elected U.S. senator,U.S. Congress,Other office,NV,1942
Harry Beam,D,IL-04,77th,1942-12-06,Elected Illinois judge,U.S. Congress,Other office,IL,1942
Charles Faddis,D,PA-25,77th,1942-12-04,Joined the Army,U.S. Congress,Military service,PA,1942
William Cole Jr.,D,MD-02,77th,1942-10-26,Appointed federal judge,U.S. Congress,Other office,MD,1942
Vincent Harrington,D,IA-09,77th,1942-09-05,Joined the Army,U.S. Congress,Military service,IA,1942
A.D. Baumhart Jr.,R,OH-13,77th,1942-09-02,Joined the Navy,U.S. Congress,Military service,OH,1942
Arthur Healey,D,MA-08,77th,1942-08-03,Appointed federal judge,U.S. Congress,Other office,MA,1942
Robert Secrest,D,OH-15,77th,1942-08-03,Joined the Navy,U.S. Congress,Military service,OH,1942
